05/02/2025-10:01:38.740620  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:58178 -> 192.168.65.7:2375
05/02/2025-10:01:38.741140  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:40629 -> 192.168.65.7:2375
05/02/2025-10:01:38.741293  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:58178 -> 192.168.65.7:2375
05/02/2025-10:01:38.741265  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:40629 -> 192.168.65.7:2375
05/02/2025-10:01:38.741542  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:40629 -> 192.168.65.7:2375
05/02/2025-10:01:38.804240  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:47977 -> 192.168.65.7:2375
05/02/2025-10:01:38.804958  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:47977 -> 192.168.65.7:2375
05/02/2025-10:01:38.805295  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:47977 -> 192.168.65.7:2375
05/02/2025-10:01:38.805374  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:47977 -> 192.168.65.7:2375
05/02/2025-10:01:38.805431  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:47977 -> 192.168.65.7:2375
05/02/2025-10:01:38.805445  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:47977 -> 192.168.65.7:2375
05/02/2025-10:01:38.880013  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:44920 -> 192.168.65.7:2375
05/02/2025-10:01:38.882529  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:44920 -> 192.168.65.7:2375
05/02/2025-10:01:38.882624  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:44920 -> 192.168.65.7:2375
05/02/2025-10:01:38.882769  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:44920 -> 192.168.65.7:2375
