------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:47:32 (uptime: 0d, 00h 00m 15s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
app_layer.tx.http                             | Total                     | 144
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10000
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 138
flow.mgr.flows_notimeout                      | Total                     | 138
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 2113536
http.memuse                                   | Total                     | 47592
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:48:04 (uptime: 0d, 00h 00m 47s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 2776
capture.afpacket.polls                        | Total                     | 5561
capture.afpacket.poll_timeout                 | Total                     | 4465
capture.afpacket.poll_data                    | Total                     | 1096
decoder.pkts                                  | Total                     | 2776
decoder.bytes                                 | Total                     | 585433
decoder.ipv4                                  | Total                     | 2776
decoder.ethernet                              | Total                     | 2776
decoder.tcp                                   | Total                     | 2776
tcp.syn                                       | Total                     | 192
tcp.synack                                    | Total                     | 192
tcp.rst                                       | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 210
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 192
flow.total                                    | Total                     | 203
flow.active                                   | Total                     | 203
flow.tcp                                      | Total                     | 203
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 192
tcp.ssn_from_pool                             | Total                     | 192
tcp.segment_from_pool                         | Total                     | 872
app_layer.flow.http                           | Total                     | 192
app_layer.tx.http                             | Total                     | 192
flow.mgr.full_hash_pass                       | Total                     | 4
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10000
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 186
flow.mgr.flows_notimeout                      | Total                     | 186
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 2359296
http.memuse                                   | Total                     | 58718
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:48:12 (uptime: 0d, 00h 00m 55s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 3437
capture.afpacket.polls                        | Total                     | 6581
capture.afpacket.poll_timeout                 | Total                     | 5253
capture.afpacket.poll_data                    | Total                     | 1328
decoder.pkts                                  | Total                     | 3437
decoder.bytes                                 | Total                     | 725013
decoder.ipv4                                  | Total                     | 3437
decoder.ethernet                              | Total                     | 3437
decoder.tcp                                   | Total                     | 3437
tcp.syn                                       | Total                     | 240
tcp.synack                                    | Total                     | 240
tcp.rst                                       | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 210
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 240
flow.total                                    | Total                     | 253
flow.active                                   | Total                     | 253
flow.tcp                                      | Total                     | 253
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 240
tcp.ssn_from_pool                             | Total                     | 240
tcp.segment_from_pool                         | Total                     | 1080
app_layer.flow.http                           | Total                     | 238
app_layer.tx.http                             | Total                     | 240
flow.mgr.full_hash_pass                       | Total                     | 5
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10000
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 219
flow.mgr.flows_notimeout                      | Total                     | 219
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 2605056
http.memuse                                   | Total                     | 69844
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:48:14 (uptime: 0d, 00h 00m 57s)
