------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:47:32 (uptime: 0d, 00h 00m 15s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
flow.recycler.recycled                        | Total                     | 1317
flow.recycler.queue_avg                       | Total                     | 3
flow.recycler.queue_max                       | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 3016704
http.memuse                                   | Total                     | 102038
flow.memuse                                   | Total                     | 7629504
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 09:29:09 (uptime: 0d, 00h 06m 14s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 94844
capture.afpacket.polls                        | Total                     | 72672
capture.afpacket.poll_timeout                 | Total                     | 42458
capture.afpacket.poll_data                    | Total                     | 30214
decoder.pkts                                  | Total                     | 94844
decoder.bytes                                 | Total                     | 72902324
decoder.ipv4                                  | Total                     | 94844
decoder.ethernet                              | Total                     | 94844
decoder.tcp                                   | Total                     | 94844
tcp.syn                                       | Total                     | 1824
tcp.synack                                    | Total                     | 1824
tcp.rst                                       | Total                     | 22
decoder.avg_pkt_size                          | Total                     | 768
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 336
flow.total                                    | Total                     | 1835
flow.active                                   | Total                     | 346
flow.tcp                                      | Total                     | 1835
flow.tcp_reuse                                | Total                     | 2
flow.wrk.spare_sync_avg                       | Total                     | 98
flow.wrk.spare_sync                           | Total                     | 24
flow.wrk.spare_sync_incomplete                | Total                     | 9
flow.wrk.flows_evicted_needs_work             | Total                     | 130
flow.wrk.flows_evicted_pkt_inject             | Total                     | 131
flow.wrk.flows_evicted                        | Total                     | 7
flow.wrk.flows_injected                       | Total                     | 130
flow.wrk.flows_injected_max                   | Total                     | 1
tcp.sessions                                  | Total                     | 1824
tcp.ssn_from_cache                            | Total                     | 132
tcp.ssn_from_pool                             | Total                     | 1692
tcp.segment_from_cache                        | Total                     | 5997
tcp.segment_from_pool                         | Total                     | 10680
tcp.stream_depth_reached                      | Total                     | 7
app_layer.flow.http                           | Total                     | 1806
app_layer.tx.http                             | Total                     | 1813
app_layer.flow.tls                            | Total                     | 14
flow.end.state.new                            | Total                     | 1
flow.end.state.closed                         | Total                     | 1488
flow.end.tcp_state.closed                     | Total                     | 1488
flow.mgr.full_hash_pass                       | Total                     | 40
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10289
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 3591
flow.mgr.flows_notimeout                      | Total                     | 2104
flow.mgr.flows_timeout                        | Total                     | 1487
flow.mgr.flows_evicted                        | Total                     | 1487
flow.mgr.flows_evicted_needs_work             | Total                     | 130
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 1357
flow.recycler.queue_avg                       | Total                     | 3
flow.recycler.queue_max                       | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 3096576
http.memuse                                   | Total                     | 103046
flow.memuse                                   | Total                     | 7629504
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 09:29:12 (uptime: 0d, 00h 06m 17s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 94952
capture.afpacket.polls                        | Total                     | 73197
capture.afpacket.poll_timeout                 | Total                     | 42927
capture.afpacket.poll_data                    | Total                     | 30258
decoder.pkts                                  | Total                     | 94950
decoder.bytes                                 | Total                     | 72936670
decoder.ipv4                                  | Total                     | 94950
decoder.ethernet                              | Total                     | 94950
decoder.tcp                                   | Total                     | 94950
tcp.syn                                       | Total                     | 1828
tcp.synack                                    | Total                     | 1828
tcp.rst                                       | Total                     | 22
decoder.avg_pkt_size                          | Total                     | 768
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 1839
flow.tcp                                      | Total                     | 1839
flow.tcp_reuse                                | Total                     | 2
flow.wrk.spare_sync_avg                       | Total                     | 98
flow.wrk.spare_sync                           | Total                     | 24
flow.wrk.spare_sync_incomplete                | Total                     | 9
flow.wrk.flows_evicted_needs_work             | Total                     | 158
flow.wrk.flows_evicted_pkt_inject             | Total                     | 160
flow.wrk.flows_evicted                        | Total                     | 7
flow.wrk.flows_injected                       | Total                     | 158
flow.wrk.flows_injected_max                   | Total                     | 1
tcp.sessions                                  | Total                     | 1828
tcp.ssn_from_cache                            | Total                     | 132
tcp.ssn_from_pool                             | Total                     | 1696
tcp.segment_from_cache                        | Total                     | 5997
tcp.segment_from_pool                         | Total                     | 10720
tcp.stream_depth_reached                      | Total                     | 7
app_layer.flow.http                           | Total                     | 1814
app_layer.tx.http                             | Total                     | 1817
app_layer.flow.tls                            | Total                     | 14
flow.end.state.new                            | Total                     | 11
flow.end.state.established                    | Total                     | 1
flow.end.state.closed                         | Total                     | 1827
flow.end.tcp_state.established                | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 1827
flow.mgr.full_hash_pass                       | Total                     | 41
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10311
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 3645
flow.mgr.flows_notimeout                      | Total                     | 2132
flow.mgr.flows_timeout                        | Total                     | 1513
flow.mgr.flows_evicted                        | Total                     | 1513
flow.mgr.flows_evicted_needs_work             | Total                     | 132
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 1679
flow.recycler.queue_avg                       | Total                     | 4
flow.recycler.queue_max                       | Total                     | 273
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1376256
flow.memuse                                   | Total                     | 7629504
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 09:29:28 (uptime: 0d, 00h 00m 14s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 267
capture.afpacket.polls                        | Total                     | 818
capture.afpacket.poll_timeout                 | Total                     | 542
capture.afpacket.poll_data                    | Total                     | 276
decoder.pkts                                  | Total                     | 515
decoder.bytes                                 | Total                     | 112177
decoder.ipv4                                  | Total                     | 515
decoder.ethernet                              | Total                     | 515
decoder.tcp                                   | Total                     | 515
tcp.syn                                       | Total                     | 39
tcp.synack                                    | Total                     | 38
decoder.avg_pkt_size                          | Total                     | 217
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 39
flow.total                                    | Total                     | 42
flow.active                                   | Total                     | 42
flow.tcp                                      | Total                     | 42
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 39
tcp.ssn_from_pool                             | Total                     | 39
tcp.segment_from_pool                         | Total                     | 145
app_layer.flow.http                           | Total                     | 29
app_layer.tx.http                             | Total                     | 34
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10100
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 4
flow.mgr.flows_notimeout                      | Total                     | 4
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1626112
http.memuse                                   | Total                     | 6384
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 09:29:36 (uptime: 0d, 00h 00m 22s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 781
capture.afpacket.polls                        | Total                     | 2009
capture.afpacket.poll_timeout                 | Total                     | 1608
capture.afpacket.poll_data                    | Total                     | 401
decoder.pkts                                  | Total                     | 781
decoder.bytes                                 | Total                     | 162659
decoder.ipv4                                  | Total                     | 781
decoder.ethernet                              | Total                     | 781
decoder.tcp                                   | Total                     | 781
tcp.syn                                       | Total                     | 49
tcp.synack                                    | Total                     | 49
decoder.avg_pkt_size                          | Total                     | 208
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 49
flow.total                                    | Total                     | 58
flow.active                                   | Total                     | 58
flow.tcp                                      | Total                     | 58
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 49
tcp.ssn_from_pool                             | Total                     | 49
tcp.segment_from_pool                         | Total                     | 229
app_layer.flow.http                           | Total                     | 49
app_layer.tx.http                             | Total                     | 49
flow.mgr.full_hash_pass                       | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10000
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 56
flow.mgr.flows_notimeout                      | Total                     | 56
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1777664
http.memuse                                   | Total                     | 20630
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 09:29:44 (uptime: 0d, 00h 00m 30s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1483
capture.afpacket.polls                        | Total                     | 3005
capture.afpacket.poll_timeout                 | Total                     | 2306
capture.afpacket.poll_data                    | Total                     | 699
decoder.pkts                                  | Total                     | 1491
decoder.bytes                                 | Total                     | 312729
decoder.ipv4                                  | Total                     | 1491
decoder.ethernet                              | Total                     | 1491
decoder.tcp                                   | Total                     | 1491
tcp.syn                                       | Total                     | 97
tcp.synack                                    | Total                     | 97
decoder.avg_pkt_size                          | Total                     | 209
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 97
flow.total                                    | Total                     | 108
flow.active                                   | Total                     | 108
flow.tcp                                      | Total                     | 108
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 97
tcp.ssn_from_pool                             | Total                     | 97
tcp.segment_from_pool                         | Total                     | 449
app_layer.flow.http                           | Total                     | 97
app_layer.tx.http                             | Total                     | 97
flow.mgr.full_hash_pass                       | Total                     | 2
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10000
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 82
flow.mgr.flows_notimeout                      | Total                     | 82
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1886208
http.memuse                                   | Total                     | 17626
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 09:29:52 (uptime: 0d, 00h 00m 38s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 2248
capture.afpacket.polls                        | Total                     | 4419
capture.afpacket.poll_timeout                 | Total                     | 3349
capture.afpacket.poll_data                    | Total                     | 1070
decoder.pkts                                  | Total                     | 2254
decoder.bytes                                 | Total                     | 467117
decoder.ipv4                                  | Total                     | 2254
decoder.ethernet                              | Total                     | 2254
decoder.tcp                                   | Total                     | 2254
tcp.syn                                       | Total                     | 145
tcp.synack                                    | Total                     | 145
decoder.avg_pkt_size                          | Total                     | 207
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 145
flow.total                                    | Total                     | 156
flow.active                                   | Total                     | 156
flow.tcp                                      | Total                     | 156
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 145
tcp.ssn_from_pool                             | Total                     | 145
tcp.segment_from_pool                         | Total                     | 669
app_layer.flow.http                           | Total                     | 145
app_layer.tx.http                             | Total                     | 145
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10000
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 139
flow.mgr.flows_notimeout                      | Total                     | 139
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 2136064
http.memuse                                   | Total                     | 28752
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 09:30:00 (uptime: 0d, 00h 00m 46s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 3021
capture.afpacket.polls                        | Total                     | 5821
capture.afpacket.poll_timeout                 | Total                     | 4391
capture.afpacket.poll_data                    | Total                     | 1430
decoder.pkts                                  | Total                     | 3021
decoder.bytes                                 | Total                     | 621400
decoder.ipv4                                  | Total                     | 3021
decoder.ethernet                              | Total                     | 3021
decoder.tcp                                   | Total                     | 3021
tcp.syn                                       | Total                     | 193
tcp.synack                                    | Total                     | 193
decoder.avg_pkt_size                          | Total                     | 205
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 193
flow.total                                    | Total                     | 204
flow.active                                   | Total                     | 204
flow.tcp                                      | Total                     | 204
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 193
tcp.ssn_from_pool                             | Total                     | 193
tcp.segment_from_pool                         | Total                     | 889
app_layer.flow.http                           | Total                     | 193
app_layer.tx.http                             | Total                     | 193
flow.mgr.full_hash_pass                       | Total                     | 4
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10000
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 180
flow.mgr.flows_notimeout                      | Total                     | 180
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 2385920
http.memuse                                   | Total                     | 35140
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 09:30:08 (uptime: 0d, 00h 00m 54s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 3173
capture.afpacket.polls                        | Total                     | 6671
capture.afpacket.poll_timeout                 | Total                     | 5165
capture.afpacket.poll_data                    | Total                     | 1506
decoder.pkts                                  | Total                     | 3191
decoder.bytes                                 | Total                     | 649192
decoder.ipv4                                  | Total                     | 3191
decoder.ethernet                              | Total                     | 3191
decoder.tcp                                   | Total                     | 3191
tcp.syn                                       | Total                     | 205
tcp.synack                                    | Total                     | 205
decoder.avg_pkt_size                          | Total                     | 203
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 205
flow.total                                    | Total                     | 216
flow.active                                   | Total                     | 216
flow.tcp                                      | Total                     | 216
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 205
tcp.ssn_from_pool                             | Total                     | 205
tcp.segment_from_pool                         | Total                     | 939
app_layer.flow.http                           | Total                     | 205
app_layer.tx.http                             | Total                     | 205
flow.mgr.full_hash_pass                       | Total                     | 5
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10000
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 208
flow.mgr.flows_notimeout                      | Total                     | 208
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 2635776
http.memuse                                   | Total                     | 41524
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 09:30:16 (uptime: 0d, 00h 01m 02s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 3718
capture.afpacket.polls                        | Total                     | 7898
capture.afpacket.poll_timeout                 | Total                     | 6162
capture.afpacket.poll_data                    | Total                     | 1736
decoder.pkts                                  | Total                     | 3718
decoder.bytes                                 | Total                     | 770634
decoder.ipv4                                  | Total                     | 3718
decoder.ethernet                              | Total                     | 3718
decoder.tcp                                   | Total                     | 3718
tcp.syn                                       | Total                     | 241
tcp.synack                                    | Total                     | 241
decoder.avg_pkt_size                          | Total                     | 207
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 241
flow.total                                    | Total                     | 252
flow.active                                   | Total                     | 252
flow.tcp                                      | Total                     | 252
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 241
tcp.ssn_from_pool                             | Total                     | 241
tcp.segment_from_pool                         | Total                     | 1109
app_layer.flow.http                           | Total                     | 241
app_layer.tx.http                             | Total                     | 241
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10000
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 253
flow.mgr.flows_notimeout                      | Total                     | 253
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 2844672
http.memuse                                   | Total                     | 48488
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 09:30:24 (uptime: 0d, 00h 01m 10s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 4406
capture.afpacket.polls                        | Total                     | 9224
capture.afpacket.poll_timeout                 | Total                     | 7222
capture.afpacket.poll_data                    | Total                     | 2002
decoder.pkts                                  | Total                     | 4406
decoder.bytes                                 | Total                     | 919293
decoder.ipv4                                  | Total                     | 4406
decoder.ethernet                              | Total                     | 4406
decoder.tcp                                   | Total                     | 4406
tcp.syn                                       | Total                     | 289
tcp.synack                                    | Total                     | 289
decoder.avg_pkt_size                          | Total                     | 208
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 289
flow.total                                    | Total                     | 300
flow.active                                   | Total                     | 300
flow.tcp                                      | Total                     | 300
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 289
tcp.ssn_from_pool                             | Total                     | 289
tcp.segment_from_pool                         | Total                     | 1329
app_layer.flow.http                           | Total                     | 289
app_layer.tx.http                             | Total                     | 289
flow.mgr.full_hash_pass                       | Total                     | 7
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10000
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 297
flow.mgr.flows_notimeout                      | Total                     | 297
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 2885632
http.memuse                                   | Total                     | 47916
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 09:30:32 (uptime: 0d, 00h 01m 18s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 5143
capture.afpacket.polls                        | Total                     | 10363
capture.afpacket.poll_timeout                 | Total                     | 8063
capture.afpacket.poll_data                    | Total                     | 2300
decoder.pkts                                  | Total                     | 5146
decoder.bytes                                 | Total                     | 1078897
decoder.ipv4                                  | Total                     | 5146
decoder.ethernet                              | Total                     | 5146
decoder.tcp                                   | Total                     | 5146
tcp.syn                                       | Total                     | 338
tcp.synack                                    | Total                     | 338
decoder.avg_pkt_size                          | Total                     | 209
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 320
flow.total                                    | Total                     | 349
flow.active                                   | Total                     | 331
flow.tcp                                      | Total                     | 349
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
flow.wrk.flows_evicted_needs_work             | Total                     | 1
flow.wrk.flows_evicted_pkt_inject             | Total                     | 1
flow.wrk.flows_injected                       | Total                     | 1
tcp.sessions                                  | Total                     | 338
tcp.ssn_from_pool                             | Total                     | 338
tcp.segment_from_pool                         | Total                     | 1558
app_layer.flow.http                           | Total                     | 338
app_layer.tx.http                             | Total                     | 338
flow.end.state.closed                         | Total                     | 18
flow.end.tcp_state.closed                     | Total                     | 18
flow.mgr.full_hash_pass                       | Total                     | 7
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10014
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 346
flow.mgr.flows_notimeout                      | Total                     | 328
flow.mgr.flows_timeout                        | Total                     | 18
flow.mgr.flows_evicted                        | Total                     | 18
flow.mgr.flows_evicted_needs_work             | Total                     | 1
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 17
flow.recycler.queue_max                       | Total                     | 7
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 2936832
http.memuse                                   | Total                     | 49766
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 09:30:40 (uptime: 0d, 00h 01m 26s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 5919
capture.afpacket.polls                        | Total                     | 11651
capture.afpacket.poll_timeout                 | Total                     | 8950
capture.afpacket.poll_data                    | Total                     | 2701
decoder.pkts                                  | Total                     | 5953
decoder.bytes                                 | Total                     | 1235550
decoder.ipv4                                  | Total                     | 5953
decoder.ethernet                              | Total                     | 5953
decoder.tcp                                   | Total                     | 5953
tcp.syn                                       | Total                     | 386
tcp.synack                                    | Total                     | 386
decoder.avg_pkt_size                          | Total                     | 207
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 334
flow.total                                    | Total                     | 397
flow.active                                   | Total                     | 345
flow.tcp                                      | Total                     | 397
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
flow.wrk.flows_evicted_needs_work             | Total                     | 2
flow.wrk.flows_evicted_pkt_inject             | Total                     | 2
flow.wrk.flows_injected                       | Total                     | 2
tcp.sessions                                  | Total                     | 386
tcp.ssn_from_cache                            | Total                     | 2
tcp.ssn_from_pool                             | Total                     | 384
tcp.segment_from_cache                        | Total                     | 6
tcp.segment_from_pool                         | Total                     | 1770
app_layer.flow.http                           | Total                     | 386
app_layer.tx.http                             | Total                     | 386
flow.end.state.closed                         | Total                     | 52
flow.end.tcp_state.closed                     | Total                     | 52
flow.mgr.full_hash_pass                       | Total                     | 8
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10047
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 440
flow.mgr.flows_notimeout                      | Total                     | 388
flow.mgr.flows_timeout                        | Total                     | 52
flow.mgr.flows_evicted                        | Total                     | 52
flow.mgr.flows_evicted_needs_work             | Total                     | 2
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 50
flow.recycler.queue_max                       | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 3069952
http.memuse                                   | Total                     | 76202
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
